A,B,C,D,E,F
20,14,15,19,16,16
20,14,15,19,16,16
20,15,14,19,16,16
20,15,14,19,16,16
20,15,14,19,16,16
20,16,14,18,16,16
20,16,14,19,15,16
20,17,14,19,14,16
20,16,14,20,14,16
20,16,15,19,14,16
20,16,16,18,14,16
20,16,17,18,13,16
20,16,17,18,13,16
19,16,17,18,13,17
19,16,16,19,13,17
19,16,16,19,13,17
18,16,16,19,14,17
18,16,15,19,14,18
18,16,15,18,14,19
18,17,15,17,14,19
19,16,15,17,14,19
19,16,14,17,15,19
20,16,14,16,15,19
20,15,14,16,15,20
20,16,14,16,14,20
20,16,15,16,14,19
20,16,15,16,14,19
20,16,15,16,14,19
20,16,15,16,15,18
20,16,15,16,14,19
20,17,15,16,13,19
20,17,15,17,12,19
19,17,16,17,12,19
19,17,15,17,13,19
19,18,15,16,13,19
19,18,15,17,13,18
20,18,15,16,13,18
20,17,15,16,13,19
20,17,15,16,12,20
19,17,15,16,12,21
18,17,16,16,12,21
17,17,17,16,12,21
16,17,18,16,12,21
16,17,17,16,12,22
16,17,17,16,12,22
16,17,17,16,12,22
16,16,17,16,12,23
16,16,17,16,12,23
16,16,17,15,13,23
16,16,17,15,12,24
16,16,17,15,13,23
17,16,16,15,13,23
17,17,15,15,13,23
18,17,15,14,13,23
18,18,15,14,13,22
18,18,15,14,13,22
18,18,15,14,13,22
19,18,15,14,13,21
19,18,15,14,13,21
19,18,15,14,13,21
19,18,15,14,13,21
19,18,15,14,13,21
19,19,15,13,13,21
19,19,14,13,13,22
19,19,14,13,13,22
19,19,14,13,13,22
18,19,14,14,13,22
18,19,13,15,13,22
18,19,13,16,12,22
18,19,13,17,12,21
18,19,14,17,12,20
18,19,14,17,12,20
18,20,14,16,12,20
18,20,15,15,12,20
18,20,15,14,13,20
19,20,15,14,12,20
18,20,16,14,12,20
18,20,16,13,13,20
19,20,16,13,13,19
19,20,16,13,12,20
19,20,16,12,12,21
19,21,16,12,12,20
19,21,16,12,11,21
19,21,16,12,11,21
19,21,16,12,10,22
19,21,16,12,10,22
18,22,16,12,10,22
17,22,16,12,11,22
17,22,17,12,10,22
17,22,16,13,10,22
16,22,16,14,10,22
15,22,16,15,10,22
15,22,16,15,10,22
15,22,17,14,10,22
14,23,17,14,10,22
14,23,17,15,9,22
14,24,17,15,9,21
14,23,17,16,9,21
14,22,17,17,9,21
13,23,17,17,9,21
13,22,18,17,9,21
13,23,18,17,9,20
13,23,18,17,9,20
13,23,18,17,9,20
12,23,18,17,10,20
12,23,17,17,10,21
13,23,17,16,10,21
13,24,17,16,9,21
13,24,17,15,9,22
13,24,16,16,9,22
13,24,16,17,9,21
13,24,17,16,9,21
13,24,17,17,8,21
14,24,17,17,8,20
14,23,18,17,8,20
14,23,17,17,9,20
14,23,17,18,9,19
14,23,16,19,9,19
14,23,16,20,8,19
14,23,16,19,9,19
14,23,17,19,8,19
15,22,17,19,8,19
15,22,16,19,9,19
15,22,16,19,9,19
15,22,16,19,9,19
16,22,15,19,9,19
16,22,15,18,9,20
16,22,15,18,9,20
16,22,15,18,8,21
16,22,15,18,9,20
17,22,15,18,9,19
18,22,15,17,9,19
19,22,15,17,9,18
18,22,16,17,9,18
17,22,16,17,9,19
16,22,16,17,9,20
16,22,16,16,10,20
16,22,15,16,10,21
15,23,15,16,10,21
15,23,14,16,11,21
16,23,14,16,10,21
16,23,14,16,10,21
16,23,14,16,10,21
16,24,14,16,9,21
16,24,14,17,9,20
15,24,14,17,10,20
15,24,14,17,10,20
15,24,14,18,9,20
15,24,14,18,10,19
15,24,14,18,11,18
15,24,14,19,10,18
14,24,14,19,10,19
14,24,14,19,10,19
14,25,14,19,9,19
14,24,14,20,9,19
14,24,14,21,9,18
13,24,15,21,9,18
13,23,15,22,9,18
13,22,15,22,10,18
13,22,16,22,10,17
13,22,16,22,10,17
13,21,16,22,10,18
14,21,16,22,9,18
14,21,16,21,10,18
15,20,16,21,10,18
15,19,16,21,10,19
15,19,16,22,9,19
15,19,16,22,10,18
15,19,16,23,9,18
15,19,16,23,9,18
14,20,16,23,9,18
14,20,16,23,9,18
14,20,17,23,8,18
14,20,18,23,8,17
14,20,17,23,8,18
14,20,17,23,8,18
13,20,18,23,8,18
14,19,18,23,8,18
14,19,19,23,7,18
15,19,19,22,7,18
15,19,18,23,7,18
16,19,18,23,7,17
17,19,18,22,7,17
17,19,19,22,7,16
17,19,19,22,7,16
17,20,19,22,6,16
18,20,19,21,6,16
18,19,19,21,6,17
18,19,19,21,5,18
17,19,19,21,6,18
17,18,19,21,6,19
17,18,20,21,6,18
16,18,20,21,7,18
16,18,20,21,8,17
16,18,20,21,8,17
16,17,21,21,8,17
16,18,21,21,8,16
16,18,21,21,8,16
16,17,21,21,8,17
15,17,21,21,9,17
15,17,20,21,9,18
15,17,20,21,9,18
15,17,20,21,9,18
15,18,20,21,9,17
15,19,20,21,8,17
15,20,20,20,8,17
15,20,19,21,8,17
15,20,20,21,8,16
15,20,20,21,8,16
15,19,20,21,9,16
15,18,20,22,9,16
15,18,20,22,9,16
15,18,20,23,8,16
15,18,21,23,8,15
15,18,21,23,8,15
15,18,21,23,8,15
15,18,20,24,8,15
15,18,20,23,9,15
16,17,20,23,9,15
16,17,20,23,9,15
16,17,19,23,9,16
17,17,19,22,9,16
17,17,19,22,9,16
17,16,19,22,9,17
18,16,18,22,9,17
18,15,18,22,10,17
18,15,18,22,10,17
17,15,18,23,10,17
17,15,18,23,9,18
17,15,19,22,9,18
17,15,19,21,9,19
17,15,19,21,8,20
17,15,18,21,9,20
17,15,19,21,8,20
17,15,18,21,9,20
17,15,17,22,9,20
17,14,17,23,9,20
17,14,16,23,10,20
17,13,16,23,11,20
17,13,16,22,11,21
17,13,16,22,11,21
17,13,16,22,11,21
17,13,16,22,12,20
17,13,17,21,12,20
17,13,17,22,12,19
17,13,17,22,12,19
16,13,17,22,12,20
16,13,17,22,13,19
16,14,17,22,12,19
16,14,17,22,12,19
16,15,17,21,12,19
15,15,17,21,13,19
15,15,17,21,13,19
15,16,17,21,13,18
15,16,18,21,12,18
15,16,18,21,12,18
16,16,17,21,12,18
16,16,18,21,11,18
16,15,18,21,11,19
15,16,18,21,11,19
14,17,18,21,11,19
14,18,18,21,10,19
14,17,19,21,10,19
13,18,19,21,10,19
14,17,19,21,10,19
14,17,20,20,10,19
15,16,20,20,10,19
14,16,20,21,10,19
14,16,21,20,10,19
14,16,22,20,9,19
13,16,22,20,10,19
13,15,22,21,10,19
13,14,22,21,11,19
13,14,22,21,11,19
13,15,22,20,11,19
12,16,22,20,11,19
12,16,23,19,11,19
11,17,23,19,11,19
11,17,23,19,11,19
11,16,24,19,11,19
11,17,24,19,10,19
11,16,24,20,10,19
11,16,24,20,10,19
10,16,25,20,10,19
11,16,25,20,9,19
11,16,25,20,9,19
11,16,25,20,9,19
11,15,25,20,10,19
11,15,24,21,10,19
10,15,24,21,10,20
10,15,24,21,10,20
10,15,24,21,9,21
10,15,24,21,9,21
10,16,24,20,9,21
10,16,23,21,9,21
9,16,23,21,9,22
8,16,24,21,9,22
8,16,24,21,10,21
8,16,23,22,10,21
7,17,23,22,10,21
8,17,22,22,10,21
7,17,22,22,11,21
7,17,21,23,11,21
7,17,21,23,11,21
7,18,21,22,11,21
7,18,21,22,10,22
8,18,21,22,9,22
9,18,21,21,9,22
8,18,21,21,10,22
7,18,22,21,10,22
7,19,22,21,10,21
7,19,22,21,10,21
7,19,22,20,10,22
7,19,23,19,10,22
8,18,23,19,10,22
8,18,23,20,9,22
9,17,23,20,9,22
9,17,24,20,9,21
9,16,24,20,10,21
9,16,25,19,10,21
9,16,25,20,9,21
9,17,25,20,9,20
10,16,25,20,9,20
10,16,25,21,8,20
9,16,25,21,9,20
9,16,25,21,9,20
9,16,25,21,9,20
9,16,25,22,9,19
9,17,25,21,9,19
9,17,26,21,8,19
9,17,26,22,8,18
10,17,26,21,8,18
10,17,25,21,9,18
10,17,26,21,9,17
9,17,27,21,9,17
8,17,27,21,9,18
8,17,27,20,9,19
9,17,27,20,8,19
9,17,26,21,8,19
9,16,26,21,8,20
9,16,26,21,8,20
9,15,26,21,8,21
9,15,26,21,8,21
9,15,26,21,9,20
8,16,26,21,9,20
7,16,26,21,9,21
7,15,26,22,9,21
7,15,26,22,9,21
7,15,25,22,9,22
7,14,25,22,10,22
8,14,24,22,10,22
8,14,25,21,10,22
8,14,25,22,9,22
7,14,25,22,9,23
7,14,26,21,9,23
7,14,26,21,9,23
6,15,26,21,9,23
6,14,26,21,10,23
6,15,26,20,10,23
6,15,26,19,11,23
5,15,26,19,12,23
5,15,26,20,11,23
5,15,26,19,11,24
5,15,27,19,10,24
5,15,27,19,10,24
5,14,27,19,11,24
5,14,26,20,11,24
5,14,25,20,11,25
5,14,25,20,10,26
4,14,25,21,10,26
4,15,25,20,10,26
4,15,25,20,10,26
3,15,25,20,10,27
3,15,24,20,11,27
3,15,24,21,10,27
4,15,24,20,10,27
5,15,24,19,10,27
5,15,24,19,10,27
5,15,24,19,10,27
5,14,25,19,10,27
5,15,24,19,10,27
5,14,24,19,11,27
5,13,24,19,11,28
5,14,23,19,11,28
5,14,23,19,11,28
5,14,23,19,10,29
4,14,23,19,10,30
3,14,24,19,10,30
4,14,24,19,9,30
3,15,24,19,9,30
3,15,25,19,8,30
3,15,25,18,8,31
3,15,25,18,8,31
3,15,24,19,8,31
3,15,25,19,7,31
3,15,25,18,7,32
4,15,24,18,7,32
4,14,25,18,7,32
4,14,25,18,7,32
4,15,25,17,7,32
4,15,26,17,7,31
4,15,26,17,7,31
3,15,26,17,8,31
3,15,26,18,8,30
4,15,26,18,7,30
4,15,26,17,7,31
5,14,26,17,7,31
6,14,26,17,6,31
6,14,27,17,5,31
6,14,27,16,5,32
6,14,28,16,5,31
6,14,28,17,5,30
6,14,28,17,5,30
5,14,28,18,5,30
5,14,28,18,5,30
5,14,28,17,6,30
5,14,28,16,6,31
6,14,28,16,6,30
6,14,28,16,7,29
6,14,28,16,7,29
6,14,28,16,7,29
6,14,27,16,8,29
6,15,27,15,8,29
6,15,28,15,7,29
7,15,27,15,7,29
8,15,27,15,7,28
8,15,27,15,8,27
8,15,27,15,9,26
8,15,27,14,10,26
8,15,27,15,10,25
8,15,28,15,9,25
8,15,29,14,9,25
9,15,29,13,9,25
10,14,29,13,9,25
9,15,29,13,9,25
9,15,29,13,8,26
9,15,29,13,8,26
8,15,29,13,9,26
8,16,29,13,9,25
8,15,29,14,9,25
8,16,28,14,9,25
8,17,28,14,8,25
8,16,29,14,8,25
8,16,29,15,8,24
8,16,29,14,8,25
8,16,29,15,8,24
8,17,29,14,8,24
8,17,29,14,8,24
8,18,28,14,8,24
8,19,28,14,7,24
8,19,28,14,7,24
8,19,29,13,7,24
8,19,28,13,7,25
8,20,28,13,7,24
8,20,28,14,6,24
7,20,29,14,6,24
7,20,29,14,5,25
7,20,29,14,5,25
6,20,29,14,6,25
6,20,28,14,6,26
6,20,28,15,5,26
6,20,28,14,5,27
6,19,28,15,5,27
6,19,28,15,6,26
6,19,28,15,6,26
6,19,28,14,7,26
6,19,29,14,6,26
6,19,29,14,6,26
6,20,29,13,6,26
6,20,30,13,5,26
6,20,31,13,4,26
6,20,31,12,4,27
7,20,30,12,4,27
7,21,29,12,4,27
6,21,29,12,5,27
7,21,29,12,5,26
6,21,29,13,5,26
6,22,29,12,5,26
5,22,30,12,5,26
6,21,30,12,5,26
7,21,29,12,5,26
7,21,29,11,5,27
7,22,28,11,5,27
7,22,28,12,5,26
7,21,29,12,5,26
7,21,29,11,6,26
7,21,30,11,6,25
7,22,30,10,6,25
8,22,29,10,6,25
9,22,29,10,6,24
9,21,30,10,6,24
9,22,30,10,5,24
9,23,29,10,5,24
10,22,29,10,5,24
9,22,29,10,5,25
10,21,29,10,5,25
10,21,29,10,5,25
10,22,28,10,5,25
10,21,28,10,6,25
11,21,28,9,6,25
11,22,27,9,6,25
11,22,28,9,6,24
11,22,28,8,6,25
11,21,28,8,7,25
10,22,28,8,7,25
10,22,27,8,7,26
10,22,27,9,6,26
11,22,27,9,6,25
11,22,27,10,6,24
11,22,28,9,6,24
11,22,29,9,5,24
11,22,28,9,5,25
11,22,27,10,5,25
11,23,27,10,5,24
11,23,27,10,4,25
10,24,27,10,4,25
9,24,27,11,4,25
10,24,27,11,4,24
10,24,27,11,4,24
10,24,26,12,4,24
9,25,26,12,4,24
8,25,27,12,4,24
8,24,27,12,5,24
8,25,26,12,5,24
8,25,27,11,5,24
9,25,27,11,5,23
9,25,27,10,5,24
9,25,27,10,5,24
10,25,27,9,5,24
10,25,27,9,5,24
10,25,27,10,4,24
10,25,28,10,3,24
9,25,28,10,3,25
9,25,28,10,3,25
9,24,29,10,3,25
10,24,29,10,2,25
10,25,29,10,1,25
10,25,29,10,1,25
9,25,29,11,1,25
10,25,29,11,1,24
9,26,29,11,1,24
10,26,29,11,1,23
10,26,28,11,2,23
10,27,27,11,2,23
10,28,27,10,2,23
10,28,27,10,2,23
10,28,27,10,3,22
10,28,27,9,4,22
10,28,27,9,4,22
11,28,26,9,4,22
11,28,26,8,5,22
10,28,26,9,5,22
10,28,26,9,4,23
10,28,26,9,4,23
10,28,26,9,3,24
10,28,26,10,3,23
10,29,26,10,3,22
10,28,27,10,3,22
10,29,27,10,2,22
10,29,27,9,3,22
10,29,27,9,2,23
10,30,27,8,2,23
10,30,27,8,2,23
10,30,27,8,1,24
10,30,27,8,1,24
10,30,27,8,1,24
10,30,26,8,2,24
10,30,26,8,3,23
10,30,26,7,3,24
11,30,26,6,3,24
11,30,26,7,2,24
10,31,26,7,2,24
10,31,25,7,2,25
10,31,25,8,2,24
10,31,25,9,2,23
9,31,25,10,2,23
9,32,25,10,1,23
9,32,25,10,1,23
9,33,25,10,1,22
8,33,25,11,1,22
8,33,24,12,1,22
8,33,24,12,1,22
8,33,23,13,1,22
8,33,23,13,1,22
8,33,24,13,0,22
8,33,24,12,0,23
8,33,24,12,0,23
8,33,24,12,0,23
8,33,24,12,0,23
8,33,24,13,0,22
8,33,24,12,1,22
8,33,24,12,1,22
8,33,24,12,1,22
8,32,24,12,2,22
8,32,24,11,2,23
8,32,25,11,2,22
8,33,25,11,1,22
8,33,24,11,1,23
8,33,24,11,1,23
8,33,24,10,2,23
8,33,24,10,2,23
8,32,24,10,3,23
8,32,24,9,4,23
8,32,24,9,4,23
8,32,24,9,4,23
8,32,24,9,4,23
8,32,24,9,4,23
8,32,25,9,4,22
8,32,25,9,3,23
8,32,26,9,2,23
8,31,26,9,3,23
8,31,25,10,3,23
8,31,25,11,3,22
8,31,24,12,3,22
8,31,24,12,3,22
8,31,24,13,3,21
8,31,24,13,4,20
8,31,25,13,4,19
8,31,25,13,4,19
8,30,25,13,4,20
8,29,26,13,4,20
8,28,26,13,4,21
8,28,25,14,4,21
7,29,25,14,4,21
8,29,25,13,4,21
8,29,25,13,4,21
7,29,25,14,4,21
7,29,25,14,5,20
7,28,25,14,5,21
7,28,24,14,5,22
7,28,24,13,5,23
7,28,24,13,4,24
7,29,24,13,3,24
6,29,25,13,3,24
7,28,25,13,3,24
6,28,25,14,3,24
5,28,25,15,3,24
5,28,24,15,3,25
5,27,24,15,3,26
5,27,24,15,3,26
5,27,23,16,3,26
5,27,22,16,3,27
5,28,22,16,3,26
6,27,22,16,3,26
6,26,22,16,3,27
6,25,22,17,3,27
6,24,22,17,3,28
5,25,22,17,3,28
5,25,23,17,3,27
5,25,24,17,3,26
5,25,24,18,3,25
5,24,25,18,3,25
5,23,26,18,3,25
5,22,26,18,4,25
4,23,26,18,4,25
4,24,26,18,4,24
4,24,25,18,4,25
4,24,25,17,4,26
4,24,25,18,4,25
5,24,25,17,4,25
4,25,25,17,4,25
4,25,26,16,4,25
4,25,25,16,5,25
4,25,24,17,5,25
4,25,23,17,5,26
3,26,23,17,5,26
3,26,23,17,5,26
3,26,24,17,5,25
2,26,25,17,5,25
2,27,25,17,4,25
2,28,25,17,4,24
2,29,25,16,4,24
2,29,25,16,5,23
2,29,25,16,5,23
2,30,24,16,5,23
2,31,24,16,4,23
2,31,25,16,3,23
2,31,25,16,2,24
2,31,25,17,1,24
3,31,24,17,1,24
2,31,24,17,1,25
2,32,24,17,1,24
3,32,24,16,1,24
2,32,24,17,1,24
2,31,24,18,1,24
2,30,25,18,1,24
1,30,25,18,1,25
1,30,25,17,1,26
1,31,25,16,1,26
1,31,25,16,1,26
1,31,24,17,1,26
1,30,24,17,2,26
0,30,25,17,2,26
0,30,25,17,3,25
0,30,25,17,3,25
0,30,25,17,3,25
0,30,26,17,2,25
0,30,27,17,1,25
0,30,27,18,1,24
0,29,27,18,2,24
0,29,27,18,2,24
0,29,27,18,2,24
0,30,27,18,1,24
0,29,27,18,1,25
0,29,27,18,1,25
0,29,27,18,1,25
0,30,27,17,1,25
0,30,27,17,1,25
0,30,27,17,0,26
0,30,27,16,0,27
0,30,27,16,0,27
1,30,27,15,0,27
1,30,27,15,1,26
1,31,26,15,1,26
2,31,25,15,1,26
2,30,25,16,1,26
2,30,25,17,1,25
2,30,25,17,1,25
2,30,25,18,0,25
2,30,25,18,0,25
2,30,25,18,0,25
2,30,25,18,0,25
2,31,25,18,0,24
2,31,26,17,0,24
2,31,26,17,0,24
2,31,25,18,0,24
2,31,26,18,0,23
3,31,26,18,0,22
2,31,26,18,1,22
2,31,25,19,1,22
2,31,24,20,1,22
1,31,24,21,1,22
1,32,23,21,1,22
1,31,23,22,1,22
2,31,23,22,1,21
2,31,23,22,1,21
2,31,23,21,2,21
2,30,24,21,2,21
1,30,24,21,3,21
2,30,24,21,3,20
3,30,24,21,2,20
3,30,25,20,2,20
3,30,25,21,1,20
3,30,25,21,1,20
3,30,25,22,0,20
3,30,25,22,0,20
3,30,26,22,0,19
3,30,26,22,0,19
3,29,26,23,0,19
3,29,26,23,0,19
2,29,27,23,0,19
2,30,27,22,0,19
2,31,27,21,0,19
3,31,27,20,0,19
3,30,27,20,1,19
4,30,27,20,0,19
4,30,26,20,1,19
4,29,26,21,1,19
4,30,26,21,0,19
5,30,26,20,0,19
6,30,26,19,0,19
6,30,26,19,0,19
6,30,27,18,0,19
6,30,27,18,0,19
6,30,27,17,1,19
6,30,27,16,1,20
5,30,28,16,1,20
5,30,28,16,1,20
4,31,28,16,1,20
4,31,28,16,1,20
4,32,28,16,0,20
4,32,29,15,0,20
4,32,29,15,0,20
5,32,28,15,0,20
6,32,27,15,0,20
6,32,27,15,0,20
6,32,27,14,0,21
6,31,27,15,0,21
6,31,27,15,0,21
6,31,27,14,0,22
5,31,28,14,0,22
5,31,28,14,0,22
6,30,28,14,0,22
6,30,29,14,0,21
6,29,29,14,0,22
6,29,29,14,0,22
6,29,29,14,1,21
6,28,29,14,1,22
6,29,29,14,1,21
6,29,29,14,1,21
6,29,29,13,2,21
5,29,29,13,2,22
4,30,29,13,2,22
4,29,29,13,2,23
5,29,29,13,1,23
5,30,29,13,1,22
5,29,29,13,1,23
5,29,29,13,0,24
5,29,29,13,0,24
6,29,29,12,0,24
6,29,29,12,0,24
5,30,29,12,0,24
5,30,29,12,0,24
4,30,29,12,1,24
4,30,29,12,1,24
4,30,29,11,1,25
3,30,29,11,2,25
2,31,29,11,2,25
2,31,29,10,2,26
2,30,30,10,2,26
2,30,30,11,2,25
2,31,30,10,2,25
2,31,29,10,3,25
2,31,30,9,3,25
2,31,30,8,3,26
2,31,29,8,4,26
2,31,29,8,4,26
1,31,30,8,4,26
1,30,30,8,5,26
1,30,30,8,5,26
1,30,30,8,5,26
2,29,30,8,5,26
2,29,31,8,4,26
3,28,31,8,4,26
2,28,31,8,5,26
2,28,31,8,5,26
2,28,31,8,5,26
3,27,31,8,5,26
3,27,31,8,5,26
3,27,31,8,5,26
3,26,31,9,5,26
4,26,30,9,5,26
4,26,29,9,5,27
4,26,30,8,5,27
3,27,30,8,5,27
2,27,30,8,6,27
2,27,30,9,5,27
2,28,30,8,5,27
2,27,30,8,5,28
2,27,30,9,5,27
2,27,30,9,5,27
2,26,30,9,5,28
2,26,30,9,5,28
2,26,29,9,6,28
2,26,29,8,6,29
2,26,29,7,7,29
2,26,29,7,7,29
2,26,29,8,7,28
2,26,29,8,7,28
2,27,29,8,6,28
2,27,29,8,7,27
2,27,29,8,7,27
2,27,28,8,8,27
2,26,28,8,9,27
2,26,29,8,9,26
2,26,30,8,8,26
3,26,30,8,7,26
3,26,30,8,7,26
3,26,30,8,7,26
3,26,30,7,7,27
3,26,30,8,6,27
3,25,30,9,6,27
3,25,29,10,6,27
3,25,29,10,7,26
4,25,29,10,6,26
4,25,29,9,7,26
3,25,29,9,7,27
3,25,29,9,8,26
3,25,29,8,9,26
3,25,30,8,9,25
2,25,31,8,9,25
3,25,31,8,8,25
4,24,31,8,8,25
5,24,31,8,7,25
5,24,30,8,7,26
6,24,30,8,7,25
7,23,30,8,7,25
7,23,30,7,8,25
7,23,31,6,8,25
7,23,31,5,8,26
7,24,31,5,8,25
8,23,31,5,8,25
8,23,32,5,7,25
8,23,32,4,8,25
9,23,32,4,7,25
9,22,32,4,8,25
9,22,32,4,9,24
8,22,32,5,9,24
8,22,31,5,10,24
8,23,30,5,10,24
7,23,30,5,11,24
7,24,30,4,11,24
8,24,29,4,11,24
8,24,28,4,11,25
9,23,28,4,11,25
9,23,29,4,11,24
9,22,29,4,12,24
9,22,28,4,12,25
9,22,29,3,12,25
8,22,30,3,12,25
8,22,29,4,12,25
7,22,29,4,12,26
7,22,30,4,12,25
7,22,30,5,11,25
6,22,31,5,11,25
7,21,31,5,11,25
7,20,31,5,12,25
7,20,31,5,13,24
7,19,32,5,13,24
7,19,33,4,13,24
7,19,33,4,13,24
7,19,34,4,12,24
6,19,34,4,13,24
5,19,34,4,13,25
6,19,34,4,13,24
6,19,33,5,13,24
7,19,32,5,13,24
7,19,32,5,12,25
6,19,32,5,12,26
6,19,32,5,12,26
6,19,32,5,12,26
6,19,32,5,11,27
6,20,31,5,11,27
6,20,30,6,11,27
6,20,30,6,11,27
6,20,30,6,11,27
6,20,31,6,11,26
6,21,30,6,11,26
6,21,30,7,10,26
6,21,31,6,10,26
6,22,31,6,10,25
6,21,31,7,10,25
5,21,31,7,10,26
5,20,31,8,10,26
6,19,31,8,10,26
6,19,31,9,10,25
5,19,31,10,10,25
5,19,31,9,10,26
5,19,31,9,10,26
5,19,31,9,9,27
6,19,31,9,9,26
6,19,32,9,9,25
6,19,33,8,9,25
5,19,34,8,9,25
6,19,33,8,9,25
5,19,34,8,9,25
5,19,34,8,9,25
4,19,35,8,9,25
4,19,35,8,10,24
4,19,34,8,11,24
5,19,34,8,10,24
5,19,34,9,9,24
5,20,34,9,9,23
5,20,34,10,8,23
5,20,33,10,9,23
5,19,33,10,9,24
5,19,33,11,9,23
4,19,33,12,9,23
3,19,33,12,10,23
3,19,32,13,10,23
3,19,33,13,10,22
4,18,33,13,10,22
3,18,33,13,10,23
4,18,33,13,10,22
4,18,32,13,10,23
4,18,32,13,10,23
4,17,32,13,10,24
4,17,33,13,9,24
5,17,33,13,9,23
5,17,32,13,10,23
5,17,33,13,10,22
5,17,33,13,10,22
6,17,32,13,10,22
5,17,32,13,10,23
6,17,31,13,10,23
6,17,31,12,11,23
6,17,31,12,11,23
6,18,30,12,11,23
6,17,30,13,11,23
6,17,30,13,11,23
6,18,29,13,11,23
6,18,29,13,12,22
6,17,29,13,12,23
6,16,29,13,12,24
6,16,29,13,12,24
6,16,30,13,11,24
6,16,31,13,10,24
6,15,31,13,11,24
6,16,30,13,11,24
5,17,30,13,11,24
6,17,29,13,11,24
6,18,29,13,11,23
6,18,29,12,12,23
6,18,29,12,12,23
6,18,29,12,12,23
6,18,29,13,12,22
6,18,29,13,12,22
6,19,29,13,12,21
6,19,29,14,11,21
6,19,29,15,11,20
6,19,29,14,11,21
6,19,29,14,11,21
6,19,29,14,12,20
7,19,29,14,12,19
7,19,29,14,12,19
7,19,28,15,12,19
7,19,29,15,12,18
7,19,29,15,12,18
7,18,29,15,12,19
7,17,29,15,13,19
7,18,28,15,13,19
8,18,28,15,12,19
9,18,28,15,12,18
9,18,29,15,11,18
9,18,29,15,11,18
9,17,29,16,11,18
8,17,29,16,11,19
8,17,29,16,11,19
8,17,28,17,11,19
7,17,29,17,11,19
7,17,29,17,10,20
7,17,28,17,10,21
7,17,28,17,10,21
7,17,28,17,9,22
7,17,28,17,10,21
6,17,28,18,10,21
6,18,28,18,10,20
7,18,28,18,10,19
7,18,28,19,9,19
7,18,28,19,9,19
8,18,28,19,9,18
9,18,27,19,9,18
9,18,27,19,9,18
9,18,28,19,9,17
9,17,29,19,9,17
9,17,28,19,10,17
8,18,28,19,10,17
9,18,27,19,10,17
9,18,27,19,10,17
8,18,27,20,10,17
9,17,27,20,10,17
9,17,28,20,9,17
9,17,29,20,9,16
9,16,29,20,9,17
9,16,29,21,8,17
9,16,29,21,8,17
10,16,29,21,8,16
11,16,28,21,8,16
11,16,28,20,9,16
11,16,28,21,9,15
11,16,29,20,9,15
12,16,29,19,9,15
12,15,29,20,9,15
12,15,29,19,10,15
12,15,30,18,10,15
12,16,30,18,10,14
12,17,29,18,10,14
12,17,29,17,10,15
12,16,30,17,10,15
12,16,30,17,11,14
12,16,30,17,11,14
12,16,30,18,10,14
12,17,29,18,10,14
12,17,30,18,9,14
12,17,30,18,9,14
