A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
43,51,44,47,64,41,41,63,57,49,60,46,48,53,47,52,44,44,60,46
43,51,44,47,64,41,41,63,57,49,60,46,48,53,47,53,44,44,59,46
43,51,44,47,64,41,41,63,57,49,60,46,48,53,48,53,44,44,58,46
43,51,44,47,64,41,41,63,57,49,60,46,48,53,48,53,44,44,58,46
43,51,45,47,64,41,41,63,56,49,60,46,48,53,48,53,44,44,58,46
43,51,45,47,64,41,41,63,56,49,60,46,48,54,48,53,44,44,57,46
43,51,45,46,64,41,41,64,56,49,60,46,48,54,48,53,44,44,57,46
43,51,45,46,64,41,42,64,56,49,60,46,48,54,48,53,44,43,57,46
43,51,45,46,63,41,42,65,56,49,60,46,48,54,48,53,44,43,57,46
43,51,45,46,63,41,42,65,56,50,60,45,48,54,48,53,44,43,57,46
42,51,45,46,63,41,42,65,56,50,60,45,49,54,48,53,44,43,57,46
42,51,45,46,63,41,42,66,56,50,60,45,48,54,48,53,44,43,57,46
42,51,45,46,63,41,42,65,56,50,60,45,48,54,48,53,44,43,58,46
42,51,45,46,63,41,42,65,56,50,60,45,48,54,48,53,43,43,59,46
42,50,45,46,63,41,42,65,56,50,60,45,49,54,48,53,43,43,59,46
42,50,45,46,63,41,42,65,56,50,60,45,50,54,48,53,43,43,59,45
42,50,45,47,63,41,42,65,56,50,60,45,50,54,48,53,42,43,59,45
42,50,45,47,62,41,42,65,56,51,60,45,50,54,48,53,42,43,59,45
42,50,46,46,62,41,42,65,56,51,60,45,50,54,48,53,42,43,59,45
43,50,46,46,62,41,42,65,56,51,59,45,50,54,48,53,42,43,59,45
43,50,46,46,62,41,42,65,56,51,59,45,50,54,49,53,42,43,59,44
43,50,46,46,62,41,42,65,56,50,59,45,50,54,49,53,42,43,60,44
43,50,46,46,62,42,42,65,56,50,59,45,50,53,49,53,42,43,60,44
43,50,46,46,62,41,42,65,56,50,59,45,50,53,49,53,43,43,60,44
43,50,46,46,62,40,42,65,56,50,59,45,50,53,49,53,43,43,60,45
43,50,46,45,62,40,42,65,56,50,59,45,50,53,49,53,43,44,60,45
43,50,46,45,62,40,42,65,56,50,59,46,50,53,48,53,43,44,60,45
43,50,47,44,62,40,42,65,56,50,59,46,50,53,48,53,43,44,60,45
43,50,47,44,62,40,42,64,56,50,59,46,50,53,49,53,43,44,60,45
43,50,47,44,63,40,42,64,56,50,59,46,50,53,49,53,43,43,60,45
43,50,47,44,63,40,42,64,56,50,59,47,50,52,49,53,43,43,60,45
43,50,47,44,63,40,42,64,56,50,58,47,51,52,49,53,43,43,60,45
43,50,47,44,64,40,42,64,55,50,58,47,51,52,49,53,43,43,60,45
43,50,47,44,64,40,42,64,55,50,58,47,51,52,49,53,43,42,61,45
44,50,47,44,64,40,42,64,55,50,58,47,51,51,49,53,43,42,61,45
44,50,47,43,64,40,42,64,56,50,58,47,51,51,49,53,43,42,61,45
44,50,47,43,64,40,42,64,56,50,58,47,51,51,49,53,43,42,61,45
44,50,47,43,64,40,43,64,55,50,58,47,51,51,49,53,43,42,61,45
44,50,47,43,65,40,43,64,55,50,58,46,51,51,49,53,43,42,61,45
44,50,47,43,65,40,43,64,55,50,58,46,51,52,49,53,43,41,61,45
44,50,47,43,65,40,43,64,55,50,58,46,51,52,49,53,43,41,61,45
44,50,47,43,65,39,43,64,55,50,58,46,52,52,49,53,43,41,61,45
44,50,47,44,65,39,43,64,55,49,58,46,52,52,49,53,43,41,61,45
